Opp,FG%,3P%,Rebounds,Blocks,Points,win_rate,group,type,Name,Latitude,Longitude,win_rate_lab,avg_pt_LAB,avg_trb_LAB,avg_blk_LAB,id
DAL,47.2%,31.5%,9,0.3,25.7,0.6666666666666666,34,Age,Dallas Mavericks,32.790556,-96.810278,66.7%,25.7,9,0.3,7
DAL,42.4%,25%,7,0.5,28,0.5,20,Age,Dallas Mavericks,32.790556,-96.810278,50%,28,7,0.5,7
DAL,47%,28.9%,7.2,0.5,17.8,0.3333333333333333,26,Age,Dallas Mavericks,32.790556,-96.810278,33.3%,17.8,7.2,0.5,7
DAL,69.6%,50%,9,0,42,1,29,Age,Dallas Mavericks,32.790556,-96.810278,100%,42,9,0,7
DAL,71.4%,66.7%,7,1,27,1,30,Age,Dallas Mavericks,32.790556,-96.810278,100%,27,7,1,7
DAL,55.6%,42.9%,12,0,26,0,37,Age,Dallas Mavericks,32.790556,-96.810278,0%,26,12,0,7
DAL,43.3%,27.8%,4.7,1.3,24.7,0.6666666666666666,24,Age,Dallas Mavericks,32.790556,-96.810278,66.7%,24.7,4.7,1.3,7
DAL,30.8%,25%,9,0,21,0,25,Age,Dallas Mavericks,32.790556,-96.810278,0%,21,9,0,7
DAL,59.6%,30%,9,0.5,21.5,1,27,Age,Dallas Mavericks,32.790556,-96.810278,100%,21.5,9,0.5,7
DAL,46.3%,61.1%,7.7,0.3,24.3,1,33,Age,Dallas Mavericks,32.790556,-96.810278,100%,24.3,7.7,0.3,7
DAL,51.1%,42.9%,8.3,0.2,26.8,0.7777777777777778,2018-Now LAL,Team,Dallas Mavericks,32.790556,-96.810278,77.8%,26.8,8.3,0.2,7
DEN,67.8%,50%,5.5,0,22.5,0.5,32,Age,Denver Nuggets,39.748611,-105.0075,50%,22.5,5.5,0,8
DEN,44.2%,18%,9.5,2,39,0,25,Age,Denver Nuggets,39.748611,-105.0075,0%,39,9.5,2,8
DEN,39.1%,25%,9,2,25,0,37,Age,Denver Nuggets,39.748611,-105.0075,0%,25,9,2,8
DEN,44.6%,22.3%,7.2,0.6,27.2,0.16666666666666666,2003-2010 CLE,Team,Denver Nuggets,39.748611,-105.0075,16.7%,27.2,7.2,0.6,8
DEN,51.2%,20.8%,5,0,30.5,0.5,20,Age,Denver Nuggets,39.748611,-105.0075,50%,30.5,5,0,8
DEN,56.4%,20%,7.5,0,31.5,0.5,23,Age,Denver Nuggets,39.748611,-105.0075,50%,31.5,7.5,0,8
DEN,55.5%,39.5%,7.8,0.5,27.5,0.625,2014-2018 CLE,Team,Denver Nuggets,39.748611,-105.0075,62.5%,27.5,7.8,0.5,8
DEN,51.3%,25.8%,9.3,0.9,28,0.8571428571428571,35,Age,Denver Nuggets,39.748611,-105.0075,85.7%,28,9.3,0.9,8
DEN,54.2%,33.3%,6,1,34,1,30,Age,Denver Nuggets,39.748611,-105.0075,100%,34,6,1,8
DEN,60%,25%,6,0,33,1,26,Age,Denver Nuggets,39.748611,-105.0075,100%,33,6,0,8
DEN,47.3%,25.1%,7,1,22.8,0.5,29,Age,Denver Nuggets,39.748611,-105.0075,50%,22.8,7,1,8
DEN,45.8%,16.7%,4.7,0,25,0,22,Age,Denver Nuggets,39.748611,-105.0075,0%,25,4.7,0,8
DEN,29.4%,33.4%,8.5,1.5,13,0,18,Age,Denver Nuggets,39.748611,-105.0075,0%,13,8.5,1.5,8
DEN,63.2%,50%,11,0,33,1,31,Age,Denver Nuggets,39.748611,-105.0075,100%,33,11,0,8
DEN,56.6%,20%,10,1,24.5,0.5,36,Age,Denver Nuggets,39.748611,-105.0075,50%,24.5,10,1,8
DEN,48.5%,26.9%,9,0.5,26.5,0.5,33,Age,Denver Nuggets,39.748611,-105.0075,50%,26.5,9,0.5,8
DEN,53.3%,20%,7,2,27.3,0.6666666666666666,27,Age,Denver Nuggets,39.748611,-105.0075,66.7%,27.3,7,2,8
DEN,54.5%,26.8%,6.5,0.5,28,0.5,34,Age,Denver Nuggets,39.748611,-105.0075,50%,28,6.5,0.5,8
DEN,35%,33.3%,11,0,24,0,21,Age,Denver Nuggets,39.748611,-105.0075,0%,24,11,0,8
DEN,53.4%,23.4%,6.5,1.2,27,0.6666666666666666,2010-2014 MIA,Team,Denver Nuggets,39.748611,-105.0075,66.7%,27,6.5,1.2,8
DEN,50.9%,22.8%,8.9,0.9,26.3,0.6428571428571429,2018-Now LAL,Team,Denver Nuggets,39.748611,-105.0075,64.3%,26.3,8.9,0.9,8
DET,40.1%,28.6%,8.5,0.5,33,0.5,20,Age,Detroit Pistons,42.696944,-83.245556,50%,33,8.5,0.5,9
DET,48.2%,15.9%,9.2,0.8,30,1,24,Age,Detroit Pistons,42.696944,-83.245556,100%,30,9.2,0.8,9
DET,66.1%,35%,6.8,0.5,24.8,0.75,28,Age,Detroit Pistons,42.696944,-83.245556,75%,24.8,6.8,0.5,9
DET,44.8%,25.6%,7.8,0.6,26,0.3333333333333333,21,Age,Detroit Pistons,42.696944,-83.245556,33.3%,26,7.8,0.6,9
DET,43.4%,26.3%,7,0.3,26.8,0.5555555555555556,22,Age,Detroit Pistons,42.696944,-83.245556,55.6%,26.8,7,0.3,9
DET,45.6%,38%,7.2,0.5,25.5,0.75,30,Age,Detroit Pistons,42.696944,-83.245556,75%,25.5,7.2,0.5,9
DET,47.6%,0%,14,0,21,1,35,Age,Detroit Pistons,42.696944,-83.245556,100%,21,14,0,9
DET,51.4%,34.1%,6.4,0.2,23.8,0.8,2018-Now LAL,Team,Detroit Pistons,42.696944,-83.245556,80%,23.8,6.4,0.2,9
DET,54.3%,41.7%,7,0.3,25.7,0.6666666666666666,33,Age,Detroit Pistons,42.696944,-83.245556,66.7%,25.7,7,0.3,9
DET,51.5%,20%,9,0.3,21,0.6666666666666666,32,Age,Detroit Pistons,42.696944,-83.245556,66.7%,21,9,0.3,9
DET,51.9%,29.1%,5.5,0.8,27.5,0.75,27,Age,Detroit Pistons,42.696944,-83.245556,75%,27.5,5.5,0.8,9
DET,35.7%,22.9%,6.5,1,20.2,0.5,19,Age,Detroit Pistons,42.696944,-83.245556,50%,20.2,6.5,1,9
DET,43.7%,24.6%,7.5,0.6,26.1,0.5813953488372093,2003-2010 CLE,Team,Detroit Pistons,42.696944,-83.245556,58.1%,26.1,7.5,0.6,9
DET,55.5%,31.4%,6.9,0.6,24.4,0.8571428571428571,2010-2014 MIA,Team,Detroit Pistons,42.696944,-83.245556,85.7%,24.4,6.9,0.6,9
DET,42.5%,22.2%,9.3,0.7,19.3,0.6666666666666666,29,Age,Detroit Pistons,42.696944,-83.245556,66.7%,19.3,9.3,0.7,9
DET,31.6%,16.7%,2.5,0.5,14.5,0.5,18,Age,Detroit Pistons,42.696944,-83.245556,50%,14.5,2.5,0.5,9
DET,39.8%,20%,5.7,0.3,22.7,0.3333333333333333,23,Age,Detroit Pistons,42.696944,-83.245556,33.3%,22.7,5.7,0.3,9
DET,50.4%,16.7%,8,0.7,24.7,1,26,Age,Detroit Pistons,42.696944,-83.245556,100%,24.7,8,0.7,9
DET,47.9%,27.1%,7.9,0.4,22.4,0.7222222222222222,2014-2018 CLE,Team,Detroit Pistons,42.696944,-83.245556,72.2%,22.4,7.9,0.4,9
DET,52.3%,42.6%,4.5,0.2,24.5,0.75,36,Age,Detroit Pistons,42.696944,-83.245556,75%,24.5,4.5,0.2,9
DET,53.4%,60.7%,8.5,1,25.5,1,25,Age,Detroit Pistons,42.696944,-83.245556,100%,25.5,8.5,1,9
DET,48%,16.7%,8,0.6,20.6,0.8571428571428571,31,Age,Detroit Pistons,42.696944,-83.245556,85.7%,20.6,8,0.6,9
GSW,41.7%,31.9%,12.5,0.8,35.2,0.375,30,Age,Golden State Warriors,37.768056,-122.3875,37.5%,35.2,12.5,0.8,10
GSW,50.4%,34.6%,10.6,0.7,29.7,0.14285714285714285,32,Age,Golden State Warriors,37.768056,-122.3875,14.3%,29.7,10.6,0.7,10
GSW,55.1%,18.3%,9.2,1.3,30.8,0.16666666666666666,33,Age,Golden State Warriors,37.768056,-122.3875,16.7%,30.8,9.2,1.3,10
GSW,47.3%,42.2%,12.5,0.5,41,0.5,37,Age,Golden State Warriors,37.768056,-122.3875,50%,41,12.5,0.5,10
GSW,53.4%,46%,8,0.8,23.5,0.5,36,Age,Golden State Warriors,37.768056,-122.3875,50%,23.5,8,0.8,10
GSW,58.1%,37.5%,9,0.5,31,0.5,29,Age,Golden State Warriors,37.768056,-122.3875,50%,31,9,0.5,10
GSW,52.4%,25%,7,0,28.5,0,27,Age,Golden State Warriors,37.768056,-122.3875,0%,28.5,7,0,10
GSW,40.8%,41.6%,7,1,23.5,0,21,Age,Golden State Warriors,37.768056,-122.3875,0%,23.5,7,1,10
